GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
StockMarket,com.wfqart.stockmarket.dto,InvalidCompanyExceptionResponse,15,21,0,0,8,8,4,4,4,4
StockMarket,com.wfqart.stockmarket.dto,InvalidStockExceptionResponse,15,21,0,0,8,8,4,4,4,4
StockMarket,com.wfqart.stockmarket.dto,CompanyDetailsDTO,41,52,0,0,3,22,1,15,1,15
StockMarket,com.wfqart.stockmarket.dto,StockPriceIndexDTO,0,38,0,0,0,16,0,11,0,11
StockMarket,com.wfqart.stockmarket.dto,CompanyStockDetailsDTO,102,0,22,0,30,0,18,0,7,0
StockMarket,com.wfqart.stockmarket.dto,StockPriceDetailsDTO,0,38,0,0,0,16,0,11,0,11
StockMarket,com.wfqart.stockmarket.exception,InvalidDateException,4,0,0,0,2,0,1,0,1,0
StockMarket,com.wfqart.stockmarket.exception,InvalidCompanyException,0,4,0,0,0,2,0,1,0,1
StockMarket,com.wfqart.stockmarket.exception,InvalidStockException,4,0,0,0,2,0,1,0,1,0
StockMarket,com.wfqart.stockmarket.exception,GeneralException,4,0,0,0,2,0,1,0,1,0
StockMarket,com.wfqart.stockmarket.exception,ExceptionResponse,150,0,30,0,45,0,25,0,10,0
StockMarket,com.wfqart.stockmarket.exception,GlobalExceptionHandler,104,3,0,0,24,1,6,1,6,1
StockMarket,com.wfqart.stockmarket.exception,CompanyNotFoundException,0,4,0,0,0,2,0,1,0,1
StockMarket,com.wfqart.stockmarket.exception,StockNotFoundException,0,4,0,0,0,2,0,1,0,1
StockMarket,com.wfqart.stockmarket.model,CompanyDetails,124,0,0,0,38,0,19,0,19,0
StockMarket,com.wfqart.stockmarket.model,StockPriceDetails,99,0,0,0,30,0,15,0,15,0
StockMarket,com.wfqart.stockmarket.controller,CompanyInfoController,9,60,1,3,1,10,1,6,0,5
StockMarket,com.wfqart.stockmarket.controller,StockPriceController,37,58,3,3,6,9,4,5,2,4
StockMarket,com.wfqart.stockmarket,StockMarketApplication,5,3,0,0,2,1,1,1,1,1
StockMarket,com.wfqart.stockmarket.services,StockMarketServiceImpl,184,0,8,0,43,0,14,0,10,0
StockMarket,com.wfqart.stockmarket.services,CompanyInfoServiceImpl,37,0,2,0,10,0,5,0,4,0
StockMarket,com.wfqart.stockmarket.utils,StockMarketUtility,171,0,4,0,42,0,9,0,7,0
